team_2026_name,team,total_matches,first_match,last_match,wins,draws,losses,goals_for,goals_against,goal_diff,win_rate
Algeria,Algeria,621,1963-01-06,2026-07-02,289,163,169,958.0,622.0,336.0,0.4654
Argentina,Argentina,1074,1902-07-20,2026-07-06,596,258,220,2039.0,1078.0,961.0,0.5549
Australia,Australia,585,1922-06-17,2026-07-03,297,125,163,1170.0,622.0,548.0,0.5077
Austria,Austria,864,1902-10-12,2026-07-02,368,185,311,1547.0,1324.0,223.0,0.4259
Belgium,Belgium,858,1904-05-01,2026-07-06,384,184,290,1559.0,1294.0,265.0,0.4476
Bolivia,Bolivia,534,1926-10-12,2026-06-10,119,119,296,545.0,1051.0,-506.0,0.2228
Brazil,Brazil,1068,1914-09-20,2026-07-05,678,219,171,2326.0,966.0,1360.0,0.6348
Burkina Faso,Burkina Faso,464,1960-04-14,2026-06-09,164,123,177,580.0,617.0,-37.0,0.3534
Cameroon,Cameroon,616,1953-09-24,2026-03-31,271,192,153,866.0,640.0,226.0,0.4399
Canada,Canada,474,1885-11-28,2026-07-04,181,110,183,617.0,615.0,2.0,0.3819
Colombia,Colombia,643,1938-02-10,2026-07-06,261,178,204,828.0,737.0,91.0,0.4059
Costa Rica,Costa Rica,724,1921-09-14,2026-06-10,316,178,230,1238.0,858.0,380.0,0.4365
Croatia,Croatia,400,1940-04-02,2026-07-02,211,104,85,694.0,407.0,287.0,0.5275
Denmark,Denmark,874,1908-10-22,2026-06-07,402,185,287,1587.0,1173.0,414.0,0.46
Ecuador,Ecuador,595,1938-08-08,2026-06-30,184,158,253,719.0,907.0,-188.0,0.3092
Egypt,Egypt,761,1920-08-28,2026-07-06,380,189,192,1231.0,770.0,461.0,0.4993
England,England,1097,1872-11-30,2026-07-05,630,260,207,2399.0,1046.0,1353.0,0.5743
France,France,940,1904-05-01,2026-07-04,481,196,263,1728.0,1211.0,517.0,0.5117
Germany,Germany,1039,1908-04-05,2026-06-29,604,215,220,2340.0,1205.0,1135.0,0.5813
Ghana,Ghana,675,1950-05-28,2026-07-03,312,176,187,1054.0,703.0,351.0,0.4622
Greece,Greece,633,1919-06-25,2026-06-07,240,155,238,794.0,878.0,-84.0,0.3791
Iran,Iran,615,1941-08-23,2026-06-26,349,147,119,1158.0,486.0,672.0,0.5675
Italy,Italy,893,1910-05-15,2026-06-07,477,243,173,1565.0,876.0,689.0,0.5342
Ivory Coast,Ivory Coast,642,1960-04-14,2026-06-30,329,162,151,1053.0,639.0,414.0,0.5125
Jamaica,Jamaica,663,1925-03-22,2026-06-06,258,154,251,882.0,874.0,8.0,0.3891
Japan,Japan,794,1917-05-07,2026-06-29,391,167,236,1451.0,915.0,536.0,0.4924
Mexico,Mexico,1008,1923-01-01,2026-07-05,518,232,258,1775.0,1054.0,721.0,0.5139
Morocco,Morocco,622,1958-04-03,2026-07-04,308,175,139,923.0,498.0,425.0,0.4952
Netherlands,Netherlands,883,1905-04-30,2026-06-29,455,200,228,1852.0,1081.0,771.0,0.5153
New Zealand,New Zealand,419,1922-06-17,2026-06-26,172,74,173,733.0,634.0,99.0,0.4105
Nigeria,Nigeria,661,1949-10-08,2026-06-10,311,192,158,1008.0,662.0,346.0,0.4705
Panama,Panama,542,1938-02-12,2026-06-27,183,133,226,679.0,826.0,-147.0,0.3376
Paraguay,Paraguay,788,1919-05-11,2026-07-04,276,211,301,1006.0,1118.0,-112.0,0.3503
Peru,Peru,718,1927-11-01,2026-06-08,232,177,309,861.0,1001.0,-140.0,0.3231
Poland,Poland,894,1921-12-18,2026-06-03,386,225,283,1505.0,1202.0,303.0,0.4318
Portugal,Portugal,700,1921-12-18,2026-07-06,351,162,187,1235.0,780.0,455.0,0.5014
Qatar,Qatar,638,1970-03-27,2026-06-24,260,156,222,897.0,777.0,120.0,0.4075
Senegal,Senegal,642,1961-12-05,2026-07-01,299,169,174,892.0,608.0,284.0,0.4657
Serbia,Serbia,348,1950-02-26,2026-06-04,155,89,104,531.0,382.0,149.0,0.4454
South Africa,South Africa,484,1906-07-09,2026-06-28,216,146,122,652.0,458.0,194.0,0.4463
South Korea,South Korea,1014,1949-01-02,2026-06-24,540,253,221,1800.0,921.0,879.0,0.5325
Spain,Spain,788,1920-08-28,2026-07-06,464,184,140,1610.0,703.0,907.0,0.5888
Sweden,Sweden,1109,1908-07-12,2026-06-30,543,237,329,2189.0,1435.0,754.0,0.4896
Tunisia,Tunisia,681,1957-06-02,2026-06-25,296,189,196,976.0,702.0,274.0,0.4347
USA,United States,795,1885-11-28,2026-07-06,354,162,279,1210.0,1052.0,158.0,0.4453
Uruguay,Uruguay,973,1902-07-20,2026-06-26,428,242,303,1537.0,1182.0,355.0,0.4399
Wales,Wales,726,1876-03-25,2026-06-06,234,165,327,910.0,1160.0,-250.0,0.3223
Zambia,Zambia,793,1946-06-16,2026-03-31,358,203,232,1234.0,851.0,383.0,0.4515
