team_2026_name,present_in_2018_2022,shots,total_xg,goals,xg_per_shot,conversion,source
Argentina,True,168.0,26.5841384137,29.0,0.1582,0.1726,StatsBomb 2018+2022
Mexico,True,103.0,8.1219937457,5.0,0.0789,0.0485,StatsBomb 2018+2022
Ecuador,True,30.0,3.8067283904,4.0,0.1269,0.1333,StatsBomb 2018+2022
Jamaica,False,,,,,,StatsBomb 2018+2022
Spain,True,128.0,18.9256245654,18.0,0.1479,0.1406,StatsBomb 2018+2022
Netherlands,True,48.0,8.91128704,13.0,0.1857,0.2708,StatsBomb 2018+2022
Cameroon,True,28.0,3.0667434502,4.0,0.1095,0.1429,StatsBomb 2018+2022
Qatar,True,20.0,1.4079916985,1.0,0.0704,0.05,StatsBomb 2018+2022
England,True,164.0,24.5333599073,29.0,0.1496,0.1768,StatsBomb 2018+2022
USA,True,46.0,3.9385379416,3.0,0.0856,0.0652,StatsBomb 2018+2022
Iran,True,56.0,6.531391206,5.0,0.1166,0.0893,StatsBomb 2018+2022
Wales,True,24.0,2.218980701,1.0,0.0925,0.0417,StatsBomb 2018+2022
Brazil,True,202.0,25.9489716899,18.0,0.1285,0.0891,StatsBomb 2018+2022
Portugal,True,124.0,12.1502870132,18.0,0.098,0.1452,StatsBomb 2018+2022
Serbia,True,67.0,7.184771705,7.0,0.1072,0.1045,StatsBomb 2018+2022
Ghana,True,25.0,3.3532532787,5.0,0.1341,0.2,StatsBomb 2018+2022
Germany,True,141.0,14.5548221749,8.0,0.1032,0.0567,StatsBomb 2018+2022
Japan,True,92.0,12.2708365007,12.0,0.1334,0.1304,StatsBomb 2018+2022
Costa Rica,True,39.0,3.5650402747,3.0,0.0914,0.0769,StatsBomb 2018+2022
New Zealand,False,,,,,,StatsBomb 2018+2022
Belgium,True,143.0,16.4189193173,16.0,0.1148,0.1119,StatsBomb 2018+2022
Croatia,True,211.0,32.6471251791,35.0,0.1547,0.1659,StatsBomb 2018+2022
Morocco,True,105.0,12.264428517,11.0,0.1168,0.1048,StatsBomb 2018+2022
Canada,True,35.0,3.928625529,1.0,0.1122,0.0286,StatsBomb 2018+2022
France,True,188.0,23.7544356597,30.0,0.1264,0.1596,StatsBomb 2018+2022
Denmark,True,80.0,10.0812224838,6.0,0.126,0.075,StatsBomb 2018+2022
Tunisia,True,70.0,7.3967387476,6.0,0.1057,0.0857,StatsBomb 2018+2022
Peru,True,33.0,2.8879745145999998,2.0,0.0875,0.0606,StatsBomb 2018+2022
Uruguay,True,96.0,10.6705235294,8.0,0.1112,0.0833,StatsBomb 2018+2022
Italy,False,,,,,,StatsBomb 2018+2022
South Korea,True,82.0,6.6153906444,8.0,0.0807,0.0976,StatsBomb 2018+2022
Australia,True,60.0,5.5996640837,5.0,0.0933,0.0833,StatsBomb 2018+2022
Colombia,True,46.0,7.2267108718,9.0,0.1571,0.1957,StatsBomb 2018+2022
Paraguay,False,,,,,,StatsBomb 2018+2022
Panama,True,24.0,2.3961893183,1.0,0.0998,0.0417,StatsBomb 2018+2022
Bolivia,False,,,,,,StatsBomb 2018+2022
Senegal,True,79.0,7.9416084725,8.0,0.1005,0.1013,StatsBomb 2018+2022
Algeria,False,,,,,,StatsBomb 2018+2022
South Africa,False,,,,,,StatsBomb 2018+2022
Burkina Faso,False,,,,,,StatsBomb 2018+2022
Poland,True,63.0,7.860456355,5.0,0.1248,0.0794,StatsBomb 2018+2022
Sweden,True,58.0,7.365430616,5.0,0.127,0.0862,StatsBomb 2018+2022
Austria,False,,,,,,StatsBomb 2018+2022
Egypt,True,31.0,2.985732648,2.0,0.0963,0.0645,StatsBomb 2018+2022
Nigeria,True,39.0,3.3798261047,3.0,0.0867,0.0769,StatsBomb 2018+2022
Ivory Coast,False,,,,,,StatsBomb 2018+2022
Greece,False,,,,,,StatsBomb 2018+2022
Zambia,False,,,,,,StatsBomb 2018+2022
